/*
	Description:	Stringtable for Daylight
	Author:			qbt
*/

Language,										English
STR_ITEM_60018_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60018_WEIGHT, "5"
STR_ITEM_60018_PRICE, "2500"
STR_ITEM_60019, "Bar gate"
STR_ITEM_60019_DESC, ""
STR_ITEM_60019_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60019_WEIGHT, "5"
STR_ITEM_60019_PRICE, "2500"
STR_ITEM_60020, "Arrow gate (L)"
STR_ITEM_60020_DESC, ""
STR_ITEM_60020_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60020_WEIGHT, "5"
STR_ITEM_60020_PRICE, "2500"
STR_ITEM_60021, "Arrow gate (R)"
STR_ITEM_60021_DESC, ""
STR_ITEM_60021_SCRIPT, "itemBuildable.sqf"
STR_ITEM_60021_WEIGHT, "5"
STR_ITEM_60021_PRICE, "2500"


STR_ITEM_70001, "Camp fire"
STR_ITEM_70001_DESC, ""
STR_ITEM_70001_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70001_WEIGHT, "5"
STR_ITEM_70001_PRICE, "2500"
STR_ITEM_70002, "Camping chair"
STR_ITEM_70002_DESC, ""
STR_ITEM_70002_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70002_WEIGHT, "5"
STR_ITEM_70002_PRICE, "2500"
STR_ITEM_70003, "Tent A-shape"
STR_ITEM_70003_DESC, ""
STR_ITEM_70003_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70003_WEIGHT, "5"
STR_ITEM_70003_PRICE, "2500"
STR_ITEM_70004, "Tent dome-shape"
STR_ITEM_70004_DESC, ""
STR_ITEM_70004_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70004_WEIGHT, "5"
STR_ITEM_70004_PRICE, "2500"
STR_ITEM_70005, "Slum roof"
STR_ITEM_70005_DESC, ""
STR_ITEM_70005_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70005_WEIGHT, "10"
STR_ITEM_70005_PRICE, "2500"
STR_ITEM_70006, "Bag bunger"
STR_ITEM_70006_DESC, ""
STR_ITEM_70006_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70006_WEIGHT, "20"
STR_ITEM_70006_PRICE, "9500"
STR_ITEM_70007, "Bag fence long"
STR_ITEM_70007_DESC, ""
STR_ITEM_70007_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70007_WEIGHT, "15"
STR_ITEM_70007_PRICE, "5500"
STR_ITEM_70008, "Bag fence round"
STR_ITEM_70008_DESC, ""
STR_ITEM_70008_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70008_WEIGHT, "15"
STR_ITEM_70008_PRICE, "5500"
STR_ITEM_70009, "Barrier"
STR_ITEM_70009_DESC, ""
STR_ITEM_70009_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70009_WEIGHT, "15"
STR_ITEM_70009_PRICE, "2500"
STR_ITEM_70010, "Barrier wall (corner)"
STR_ITEM_70010_DESC, ""
STR_ITEM_70010_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70010_WEIGHT, "15"
STR_ITEM_70010_PRICE, "5500"
STR_ITEM_70011, "Barrier wall"
STR_ITEM_70011_DESC, ""
STR_ITEM_70011_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70011_WEIGHT, "15"
STR_ITEM_70011_PRICE, "5500"
STR_ITEM_70012, "Camonet small"
STR_ITEM_70012_DESC, ""
STR_ITEM_70012_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70012_WEIGHT, "10"
STR_ITEM_70012_PRICE, "5500"
STR_ITEM_70013, "Camonet large"
STR_ITEM_70013_DESC, ""
STR_ITEM_70013_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70013_WEIGHT, "10"
STR_ITEM_70013_PRICE, "5500"
STR_ITEM_70014, "Wall"
STR_ITEM_70014_DESC, ""
STR_ITEM_70014_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70014_WEIGHT, "15"
STR_ITEM_70014_PRICE, "5500"
STR_ITEM_70015, "Portable light"
STR_ITEM_70015_DESC, ""
STR_ITEM_70015_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70015_WEIGHT, "5"
STR_ITEM_70015_PRICE, "2500"
STR_ITEM_70016, "Portable generator"
STR_ITEM_70016_DESC, ""
STR_ITEM_70016_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70016_WEIGHT, "5"
STR_ITEM_70016_PRICE, "2500"
STR_ITEM_70017, "Bargate"
STR_ITEM_70017_DESC, ""
STR_ITEM_70017_SCRIPT, "itemBuildable.sqf"
STR_ITEM_70017_WEIGHT, "5"
STR_ITEM_70017_PRICE, "2500"


STR_ITEM_80001, "Emergency first aid kit"
STR_ITEM_80001_DESC, ""
STR_ITEM_80001_SCRIPT, ""
STR_ITEM_80001_WEIGHT, "1"
STR_ITEM_80001_PRICE, "3500"
STR_ITEM_80002, "EMS Offroad"
STR_ITEM_80002_DESC, ""
STR_ITEM_80002_SCRIPT, ""
STR_ITEM_80002_WEIGHT, ""
STR_ITEM_80002_PRICE, "8000"
STR_ITEM_80003, "EMS Orca"
STR_ITEM_80003_DESC, ""
STR_ITEM_80003_SCRIPT, ""
STR_ITEM_80003_WEIGHT, ""
STR_ITEM_80003_PRICE, "120000"


STR_ITEM_90001, "Heroin"
STR_ITEM_90001_DESC, "Euphoric opioid."
STR_ITEM_90001_SCRIPT, ""
STR_ITEM_90001_WEIGHT, "5"
STR_ITEM_90001_PRICE, "6750"
STR_ITEM_90002, "Amphetamine"
STR_ITEM_90002_DESC, "Strong stimulant."
STR_ITEM_90002_SCRIPT, ""
STR_ITEM_90002_WEIGHT, "5"
STR_ITEM_90002_PRICE, "8900"
STR_ITEM_90003, "Cannabis"
STR_ITEM_90003_DESC, "Smokable dried cannabis flower."
STR_ITEM_90003_SCRIPT, ""
STR_ITEM_90003_WEIGHT, "5"
STR_ITEM_90003_PRICE, "5500"
STR_ITEM_90004, "Opium Poppy"
STR_ITEM_90004_DESC, "Can be used or converted to heroin"
STR_ITEM_90004_SCRIPT, ""
STR_ITEM_90004_WEIGHT, "0.5"
STR_ITEM_90004_PRICE, ""
STR_ITEM_90005, "Cannabis Flower"
STR_ITEM_90005_DESC, "Fresh cannabis flower which needs to be dried"
STR_ITEM_90005_SCRIPT, ""
STR_ITEM_90005_WEIGHT, "0.5"
STR_ITEM_90005_PRICE, ""
STR_ITEM_90006, "Lockpick"
STR_ITEM_90006_DESC, "Lockpick that can be used to pick the lock of cars"
STR_ITEM_90006_SCRIPT, "itemLockpick.sqf"
STR_ITEM_90006_WEIGHT, "1"
STR_ITEM_90006_PRICE, "15000"
STR_ITEM_90007, "Marked money"
STR_ITEM_90007_DESC, "Money stolen from the bank, it needs to be laundered"
STR_ITEM_90007_SCRIPT, ""
STR_ITEM_90007_WEIGHT, "0.00001"
STR_ITEM_90007_PRICE, ""
STR_ITEM_90008, "Tunafish"
STR_ITEM_90008_DESC, "Illegal tunafish"
STR_ITEM_90008_SCRIPT, ""
STR_ITEM_90008_WEIGHT, "30"
STR_ITEM_90008_PRICE, "23000"
STR_ITEM_90009, "Uranium ore"
STR_ITEM_90009_DESC, ""
STR_ITEM_90009_SCRIPT, ""
STR_ITEM_90009_WEIGHT, "2"
STR_ITEM_90009_PRICE, ""
STR_ITEM_90010, "Enriched Uranium"
STR_ITEM_90010_DESC, ""
STR_ITEM_90010_SCRIPT, ""
STR_ITEM_90010_WEIGHT, "20"
STR_ITEM_90010_PRICE, ""
STR_ITEM_90011, "Bomb"
STR_ITEM_90011_DESC, ""
STR_ITEM_90011_SCRIPT, "itemBomb.sqf"
STR_ITEM_90011_WEIGHT, "10"
STR_ITEM_90011_PRICE, ""
STR_ITEM_90012, "Fishing Rod (Hardened fishing line)"
STR_ITEM_90012_DESC, "Fresh fish straight from the Mediterranean sea."
STR_ITEM_90012_SCRIPT, "itemFishingRodIllegal.sqf"
STR_ITEM_90012_WEIGHT, ""
STR_ITEM_90012_PRICE, "3750"


STR_ITEM_100001, "Rook-40 9mm"
STR_ITEM_100001_DESC, ""
STR_ITEM_100001_SCRIPT, ""
STR_ITEM_100001_WEIGHT, ""
STR_ITEM_100001_PRICE, "5000"
STR_ITEM_100002, "Rook-40 - 9mm mag (16rnd)"
STR_ITEM_100002_DESC, ""
STR_ITEM_100002_SCRIPT, ""
STR_ITEM_100002_WEIGHT, ""
STR_ITEM_100002_PRICE, "2500"
STR_ITEM_100003, "SDAR 5.56mm"
STR_ITEM_100003_DESC, ""
STR_ITEM_100003_SCRIPT, ""
STR_ITEM_100003_WEIGHT, ""
STR_ITEM_100003_PRICE, "10000"
STR_ITEM_100004, "SDAR - 5.56 mag (30rnd)"
STR_ITEM_100004_DESC, ""
STR_ITEM_100004_SCRIPT, ""
STR_ITEM_100004_WEIGHT, ""
STR_ITEM_100004_PRICE, "5000"
STR_ITEM_100005, "P07 9mm"
STR_ITEM_100005_DESC, ""
STR_ITEM_100005_SCRIPT, ""
STR_ITEM_100005_WEIGHT, ""
STR_ITEM_100005_PRICE, "5000"
STR_ITEM_100006, "P07 - 9mm mag (16rnd)"
STR_ITEM_100006_DESC, ""
STR_ITEM_100006_SCRIPT, ""
STR_ITEM_100006_WEIGHT, ""
STR_ITEM_100006_PRICE, "2500"
STR_ITEM_100007, "Zubr .45"
STR_ITEM_100007_DESC, ""
STR_ITEM_100007_SCRIPT, ""
STR_ITEM_100007_WEIGHT, ""
STR_ITEM_100007_PRICE, "5000"
STR_ITEM_100008, "Zubr .45 - .45 mag (6rnd)"
STR_ITEM_100008_DESC, ""
STR_ITEM_100008_SCRIPT, ""
STR_ITEM_100008_WEIGHT, ""
STR_ITEM_100008_PRICE, "2500"
STR_ITEM_100009, "PWD2000 9mm"
STR_ITEM_100009_DESC, ""
STR_ITEM_100009_SCRIPT, ""
STR_ITEM_100009_WEIGHT, ""
STR_ITEM_100009_PRICE, "10000"
STR_ITEM_100010, "PWD2000 - 9mm mag (30rnd)"
STR_ITEM_100010_DESC, ""
STR_ITEM_100010_SCRIPT, ""
STR_ITEM_100010_WEIGHT, ""
STR_ITEM_100010_PRICE, "5000"
STR_ITEM_100011, "Vermin .45"
STR_ITEM_100011_DESC, ""
STR_ITEM_100011_SCRIPT, ""
STR_ITEM_100011_WEIGHT, ""
STR_ITEM_100011_PRICE, "10000"
STR_ITEM_100012, "Vermin - .45 mag (30rnd)"
STR_ITEM_100012_DESC, ""
STR_ITEM_100012_SCRIPT, ""
STR_ITEM_100012_WEIGHT, ""
STR_ITEM_100012_PRICE, "5000"
STR_ITEM_100013, "TRG20 5.56mm"
STR_ITEM_100013_DESC, ""
STR_ITEM_100013_SCRIPT, ""
STR_ITEM_100013_WEIGHT, ""
STR_ITEM_100013_PRICE, "45000"
STR_ITEM_100014, "TRG20 - 5.56 mag (30rnd)"
STR_ITEM_100014_DESC, ""
STR_ITEM_100014_SCRIPT, ""
STR_ITEM_100014_WEIGHT, ""
STR_ITEM_100014_PRICE, "20000"
STR_ITEM_100015, "Katiba 6.5mm"
STR_ITEM_100015_DESC, ""
STR_ITEM_100015_SCRIPT, ""
STR_ITEM_100015_WEIGHT, ""
STR_ITEM_100015_PRICE, "45000"
STR_ITEM_100016, "Katiba - 6.5mm mag (30rnd)"
STR_ITEM_100016_DESC, ""
STR_ITEM_100016_SCRIPT, ""
STR_ITEM_100016_WEIGHT, ""
STR_ITEM_100016_PRICE, "20000"
STR_ITEM_100017, "Rahim 7.62mm"
STR_ITEM_100017_DESC, ""
STR_ITEM_100017_SCRIPT, ""
STR_ITEM_100017_WEIGHT, ""
STR_ITEM_100017_PRICE, "75000"
STR_ITEM_100018, "Rahim - 7.62mm mag (10rnd)"
STR_ITEM_100018_DESC, ""
STR_ITEM_100018_SCRIPT, ""
STR_ITEM_100018_WEIGHT, ""
STR_ITEM_100018_PRICE, "30000"
STR_ITEM_100019, "Mk200 LMG 6.5mm"
STR_ITEM_100019_DESC, ""
STR_ITEM_100019_SCRIPT, ""
STR_ITEM_100019_WEIGHT, ""
STR_ITEM_100019_PRICE, "100000"
STR_ITEM_100020, "Mk200 - 6.5 mm mag (200rnd)"
STR_ITEM_100020_DESC, ""
STR_ITEM_100020_SCRIPT, ""
STR_ITEM_100020_WEIGHT, ""
STR_ITEM_100020_PRICE, "45000"
STR_ITEM_100021, "M320 Sniper rifle .408"
STR_ITEM_100021_DESC, ""
STR_ITEM_100021_SCRIPT, ""
STR_ITEM_100021_WEIGHT, ""
STR_ITEM_100021_PRICE, "200000"
STR_ITEM_100022, "M320 - .408 mag (7rnd)"
STR_ITEM_100022_DESC, ""
STR_ITEM_100022_SCRIPT, ""
STR_ITEM_100022_WEIGHT, ""
STR_ITEM_100022_PRICE, "100000"
STR_ITEM_100023, "RPG32"
STR_ITEM_100023_DESC, ""
STR_ITEM_100023_SCRIPT, ""
STR_ITEM_100023_WEIGHT, ""
STR_ITEM_100023_PRICE, "100000"
STR_ITEM_100024, "RPG32 - rocket"
STR_ITEM_100024_DESC, ""
STR_ITEM_100024_SCRIPT, ""
STR_ITEM_100024_WEIGHT, ""
STR_ITEM_100024_PRICE, "100000"
STR_ITEM_100025, "Chestrig (olive)"
STR_ITEM_100025_DESC, ""
STR_ITEM_100025_SCRIPT, ""
STR_ITEM_100025_WEIGHT, ""
STR_ITEM_100025_PRICE, "5000"
STR_ITEM_100026, "Shemag (olive)"
STR_ITEM_100026_DESC, ""
STR_ITEM_100026_SCRIPT, ""
STR_ITEM_100026_WEIGHT, ""
STR_ITEM_100026_PRICE, "1000"
STR_ITEM_100027, "Stun pistol"
STR_ITEM_100027_DESC, ""
STR_ITEM_100027_SCRIPT, ""
STR_ITEM_100027_WEIGHT, ""
STR_ITEM_100027_PRICE, "5000"
STR_ITEM_100028, "Stun pistol - mag (16rnd)"
STR_ITEM_100028_DESC, ""
STR_ITEM_100028_SCRIPT, ""
STR_ITEM_100028_WEIGHT, ""
STR_ITEM_100028_PRICE, "2500"
STR_ITEM_100029, "Sting 9mm"
STR_ITEM_100029_DESC, ""
STR_ITEM_100029_SCRIPT, ""
STR_ITEM_100029_WEIGHT, ""
STR_ITEM_100029_PRICE, "10000"
STR_ITEM_100030, "Sting - 9mm mag (30rnd)"
STR_ITEM_100030_DESC, ""
STR_ITEM_100030_SCRIPT, ""
STR_ITEM_100030_WEIGHT, ""
STR_ITEM_100030_PRICE, "5000"
STR_ITEM_100031, "MXM 6.5mm"
STR_ITEM_100031_DESC, ""
STR_ITEM_100031_SCRIPT, ""
STR_ITEM_100031_WEIGHT, ""
STR_ITEM_100031_PRICE, "45000"
STR_ITEM_100032, "MXM - 6.5mm mag (30rnd)"
STR_ITEM_100032_DESC, ""
STR_ITEM_100032_SCRIPT, ""
STR_ITEM_100032_WEIGHT, ""
STR_ITEM_100032_PRICE, "20000"
STR_ITEM_100033, "ABR 7.62mm"
STR_ITEM_100033_DESC, ""
STR_ITEM_100033_SCRIPT, ""
STR_ITEM_100033_WEIGHT, ""
STR_ITEM_100033_PRICE, "75000"
STR_ITEM_100034, "ABR - 7.62mm mag (20rnd)"
STR_ITEM_100034_DESC, ""
STR_ITEM_100034_SCRIPT, ""
STR_ITEM_100034_WEIGHT, ""
STR_ITEM_100034_PRICE, "30000"
STR_ITEM_100035, "M320 Sniper rifle .408"
STR_ITEM_100035_DESC, ""
STR_ITEM_100035_SCRIPT, ""
STR_ITEM_100035_WEIGHT, ""
STR_ITEM_100035_PRICE, "200000"
STR_ITEM_100036, "M320 - .408 mag (7rnd)"
STR_ITEM_100036_DESC, ""
STR_ITEM_100036_SCRIPT, ""
STR_ITEM_100036_WEIGHT, ""
STR_ITEM_100036_PRICE, "100000"
STR_ITEM_100037, "Rangefinder"
STR_ITEM_100037_DESC, ""
STR_ITEM_100037_SCRIPT, ""
STR_ITEM_100037_WEIGHT, ""
STR_ITEM_100037_PRICE, "1000"
STR_ITEM_100038, "Tactical vest police"
STR_ITEM_100038_DESC, ""
STR_ITEM_100038_SCRIPT, ""
STR_ITEM_100038_WEIGHT, ""
STR_ITEM_100038_PRICE, "5000"


STR_ITEM_110001, "Blue poloshirt - beige shorts"
STR_ITEM_110001_DESC, ""
STR_ITEM_110001_SCRIPT, ""
STR_ITEM_110001_WEIGHT, ""
STR_ITEM_110001_PRICE, "500"
STR_ITEM_110002, "Burgundy poloshirt - blue shorts"
STR_ITEM_110002_DESC, ""
STR_ITEM_110002_SCRIPT, ""
STR_ITEM_110002_WEIGHT, ""
STR_ITEM_110002_PRICE, "500"
STR_ITEM_110003, "Stripped poloshirt - white shorts"
STR_ITEM_110003_DESC, ""
STR_ITEM_110003_SCRIPT, ""
STR_ITEM_110003_WEIGHT, ""
STR_ITEM_110003_PRICE, "500"
STR_ITEM_110004, "Tricolour poloshirt - patterned shorts"
STR_ITEM_110004_DESC, ""
STR_ITEM_110004_SCRIPT, ""
STR_ITEM_110004_WEIGHT, ""
STR_ITEM_110004_PRICE, "500"
STR_ITEM_110005, "Salmon poloshirt - dark brown shorts"
STR_ITEM_110005_DESC, ""
STR_ITEM_110005_SCRIPT, ""
STR_ITEM_110005_WEIGHT, ""
STR_ITEM_110005_PRICE, "500"
STR_ITEM_110006, "White poloshirt - red shorts"
STR_ITEM_110006_DESC, ""
STR_ITEM_110006_SCRIPT, ""
STR_ITEM_110006_WEIGHT, ""
STR_ITEM_110006_PRICE, "500"
STR_ITEM_110007, "Black shirt - beige jeans"
STR_ITEM_110007_DESC, ""
STR_ITEM_110007_SCRIPT, ""
STR_ITEM_110007_WEIGHT, ""
STR_ITEM_110007_PRICE, "500"
STR_ITEM_110008, "Green shirt - grey jeans"
STR_ITEM_110008_DESC, ""
STR_ITEM_110008_SCRIPT, ""
STR_ITEM_110008_WEIGHT, ""
STR_ITEM_110008_PRICE, "500"
STR_ITEM_110009, "Dark grey shirt - olive green jeans"
STR_ITEM_110009_DESC, ""
STR_ITEM_110009_SCRIPT, ""
STR_ITEM_110009_WEIGHT, ""
STR_ITEM_110009_PRICE, "500"
STR_ITEM_110010, "Brown jacket - blue jeans"
STR_ITEM_110010_DESC, ""
STR_ITEM_110010_SCRIPT, ""
STR_ITEM_110010_WEIGHT, ""
STR_ITEM_110010_PRICE, "500"
STR_ITEM_110011, "Beige jacket - dark grey jeans"
STR_ITEM_110011_DESC, ""
STR_ITEM_110011_SCRIPT, ""
STR_ITEM_110011_WEIGHT, ""
STR_ITEM_110011_PRICE, "500"
STR_ITEM_110012, "Blue shirt - dark blue jeans"
STR_ITEM_110012_DESC, ""
STR_ITEM_110012_SCRIPT, ""
STR_ITEM_110012_WEIGHT, ""
STR_ITEM_110012_PRICE, "500"
STR_ITEM_110013, "Hunting jacket - dirty jeans"
STR_ITEM_110013_DESC, ""
STR_ITEM_110013_SCRIPT, ""
STR_ITEM_110013_WEIGHT, ""
STR_ITEM_110013_PRICE, "500"
STR_ITEM_110014, "Dark blue shirt - dirty jeans"
STR_ITEM_110014_DESC, ""
STR_ITEM_110014_SCRIPT, ""
STR_ITEM_110014_WEIGHT, ""
STR_ITEM_110014_PRICE, "500"
STR_ITEM_110015, "Guerilla clothes"
STR_ITEM_110015_DESC, ""
STR_ITEM_110015_SCRIPT, ""
STR_ITEM_110015_WEIGHT, ""
STR_ITEM_110015_PRICE, "500"
STR_ITEM_110016, "Assault backpack - black"
STR_ITEM_110016_DESC, ""
STR_ITEM_110016_SCRIPT, ""
STR_ITEM_110016_WEIGHT, ""
STR_ITEM_110016_PRICE, "500"
STR_ITEM_110017, "Bergen backpack - black"
STR_ITEM_110017_DESC, ""
STR_ITEM_110017_SCRIPT, ""
STR_ITEM_110017_WEIGHT, ""
STR_ITEM_110017_PRICE, "500"
